"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"boot1, rst1";"SW_PTS645SL43SMTR92LFS";2;"SW_Push";;;
2;"C1, C5";"C_0805_2012Metric";2;"10uF";;;
3;"C2, C3";"LED_0805_2012Metric";2;"4.7uF";;;
4;"C4";"C_1206_3216Metric";1;"1uF";;;
5;"C6, C7";"C_0805_2012Metric";2;"0.1uF";;;
6;"J1";"SHENZHEN-CHUANGQIN-TECHNOLOGY_CQ-USB-C16PSMT01";1;"CQ-USB-C16PSMT01";;;
7;"J2";"CONN_S2B-PH-K-S_JST";1;"Conn_01x02_Pin";;;
8;"J3";"PinHeader_2x04_P2.54mm_Vertical";1;"Conn_02x04_Top_Bottom";;;
9;"R1, R2";"R_1206_3216Metric";2;"5.1k";;;
10;"R3";"R_0805_2012Metric";1;"3.3k";;;
11;"R4";"R_1206_3216Metric";1;"1.8k";;;
12;"R5, R6, R7";"R_0805_2012Metric";3;"10k";;;
13;"R8, R9";"R_1206_3216Metric";2;"100k";;;
14;"SW1, SW2, SW3, SW4, SW5, SW6, SW7, SW8";"SW_Cherry_MX_1.00u_PCB";8;"SW_Push";;;
15;"SW12";"SW_CK_JS202011AQN_DPDT_Angled";1;"SW_SPDT";;;
16;"SW13";"RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm";1;"RotaryEncoder_Switch";;;
17;"U2";"SOT95P285X140-5N";1;"AP2112K-3.3";;;
18;"U3";"RGT16_1P7X1P7";1;"BQ24072TRGTR";;;
19;"X1";"ESP32S3WROOM1N8R2";1;"ESP32-S3-WROOM-1-N16R8";;;
