Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5",0805,2,10uF,
"C2, C3",0805,2,4.7uF,
C4,1206,1,1uF,
"C6, C7",0805,2,0.1uF,
J1,SHENZHEN-CHUANGQIN-TECHNOLOGY_CQ-USB-C16PSMT01,1,CQ-USB-C16PSMT01,
J2,CONN_S2B-PH-K-S_JST,1,Conn_01x02_Pin,
"R1, R2",1206,2,5.1k,
"R10, R11, R12",1206,3,150,
R3,0805,1,3.3k,
R4,1206,1,1.8k,
"R5, R6, R7",0805,3,10k,
"R8, R9",1206,2,100k,
SW12,SW_JS102011SAQN,1,SW_SPDT,
U2,SOT95P285X140-5N,1,AP2112K-3.3,
U3,RGT16_1P7X1P7,1,BQ24072TRGTR,
X1,ESP32S3WROOM1N8R2,1,ESP32-S3-WROOM-1-N16R8,
