Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,142.7625,-102.4,0.0,bottom
C1,178.7,-67.8,180.0,bottom
C2,172.75,-57.1,0.0,bottom
C3,168.45,-57.15,0.0,bottom
C4,154.55,-56.7,0.0,bottom
C5,168.8,-67.5,0.0,bottom
C6,150.0,-78.6,0.0,bottom
C7,153.9,-78.6,0.0,bottom
D1,135.25,-132.4,45.0,top
D2,140.2,-132.45,45.0,top
D3,130.5,-132.25,45.0,top
H1,214.95,-155.85,0.0,top
H2,118.65,-155.85,0.0,top
H3,118.65,-44.7,0.0,top
H4,214.95,-44.7,0.0,top
J1,167.0,-47.5725,180.0,bottom
J2,164.0326,-61.8049,270.0,bottom
J3,188.845,-56.15,0.0,top
R1,159.2,-52.3,270.0,bottom
R10,137.35,-137.15,270.0,bottom
R11,144.2,-132.55,90.0,bottom
R12,132.05,-137.3,270.0,bottom
R2,174.6,-52.35,90.0,bottom
R3,172.4,-59.6,0.0,bottom
R4,180.3,-56.75,90.0,bottom
R5,181.85,-60.4,0.0,bottom
R6,124.4,-98.1,0.0,bottom
R7,149.85,-94.35,0.0,bottom
R8,152.0,-73.75,0.0,bottom
R9,152.1625,-69.95,0.0,bottom
RST1,131.7625,-102.35,0.0,bottom
SW1,157.12,-105.01,0.0,top
SW12,154.95,-41.55,180.0,bottom
SW13,195.05,-88.65,0.0,top
SW2,176.17,-105.01,0.0,top
SW3,157.116,-124.0371,0.0,top
SW4,176.1762,-124.0368,0.0,top
SW5,166.7,-85.91,0.0,top
SW6,195.26,-114.9,0.0,top
SW7,167.0,-143.11,0.0,top
SW8,138.1,-114.41,0.0,top
U2,173.75,-67.4,0.0,bottom
U3,176.825,-61.95,0.0,bottom
X1,130.55,-57.51,0.0,bottom
