Designator,Mid X,Mid Y,Rotation,Layer
BOOT,189.35,-101.7,180.0,bottom
C1,174.3,-69.55,90.0,bottom
C2,178.05,-142.75,270.0,bottom
C6,206.45,-135.15,270.0,bottom
C7,206.25,-107.75,90.0,bottom
D1,135.25,-132.4,45.0,top
D2,140.2,-132.45,45.0,top
D3,130.5,-132.25,45.0,top
H1,208.4,-153.95,0.0,top
H2,122.55,-154.05,0.0,top
H3,122.55,-73.65,0.0,top
H4,208.15,-73.55,0.0,top
J1,164.45,-74.6725,180.0,bottom
R1,174.3,-73.95,90.0,bottom
R10,137.35,-137.15,270.0,bottom
R11,144.2,-132.55,90.0,bottom
R12,132.05,-137.3,270.0,bottom
R2,156.6,-73.9,270.0,bottom
R6,206.3,-103.65,270.0,bottom
R7,210.1,-101.0,270.0,bottom
RST,199.4,-101.6,0.0,bottom
SW1,155.36,-103.39,0.0,top
SW13,195.05,-88.65,0.0,top
SW2,174.41,-103.39,0.0,top
SW3,155.356,-122.4171,0.0,top
SW4,174.4162,-122.4168,0.0,top
SW5,164.94,-84.29,0.0,top
SW6,193.5,-113.28,0.0,top
SW7,165.24,-141.49,0.0,top
SW8,136.34,-112.79,0.0,top
U1,179.575,-148.8,0.0,bottom
X1,194.85,-139.05,0.0,bottom
